source_sentence,target_sentence
"A treaty between India and China for trade through Nathu La Pass, has expedited development and prospects of Siliguri as an international transportation and logistics hub. Later in 1994 Siliguri built a Municipal corporation which has been responsible for the civic infrastructure and administration of the city of Siliguri. Siliguri has now achieved the status of becoming the 3rd largest city in West Bengal, after Kolkata.[1] ","प्रचण्डवृद्ध्या शिलिगुडि इदानीं पूर्वदृष्टिकोणात् दूरम् अस्ति, गुवाहाटी -नगरात् परं पूर्वभारतस्य बृहत्तमं द्रुततमं च वर्धमानं नगरम् अस्ति। १९७१- १९८१ तमे वर्षे शिलिगुडि-नगरस्य विकासस्य दरः ५७.८% आसीत्, एतां वृद्धिं विचार्य शिलिगुडि १९८१ तमे वर्षे एकीकृतनगरविकासपरियोजनाकार्यक्रमस्य अन्तर्गतम् अभवत् । शिलिगुडि १९८१–१९९१ तमे वर्षे जनसंख्यावृद्धेः ४६.८३% भागं स्पृशति स्म । भारतस्य चीनस्य च मध्ये र्न थोस् ल गिरिपथ-मार्गेण व्यापारार्थं सन्धिः, अन्तर्राष्ट्रीयपरिवहनस्य रसदस्य च केन्द्रत्वेन शिलिगुडि-नगरस्य विकासं सम्भावनाञ्च त्वरितवती अस्ति। पश्चात् १९९४ तमे वर्षे शिलिगुडि इत्यनेन नगरनिगमः निर्मितः यस्य दायित्वं शिलिगुडिनगरस्य नागरिकमूलसंरचनायाः प्रशासनस्य च अस्ति । शिलिगुडि इदानीं कोल्काता-आसान्सोल्-नगरयोः पश्चात् पश्चिमबङ्गस्य तृतीयं बृहत्तमं नगरम् इति स्थितिं प्राप्तवती अस्ति। [1] "
Map of Darjeeling district (1838) during regime of Rajah of Sikkim ,सिक्किमस्य राजतन्त्रस्य शासनकाले दार्जिलिङ्गमण्डलस्य मानचित्रम् (१८३८) 
Middle Ages history ,मध्ययुगस्य इतिहासः 
"Map of Darjeeling district (1876) after being considered a ""regulated area"" by the British government ","दार्जिलिङ्गमण्डलस्य मानचित्र (१८७६), ब्रिटिश-भारतसर्वकारेण ""नियन्त्रितक्षेत्रम्"" इति मन्तव्यस्य अनन्तरम् "
"Until the 19th century this region was called as ""Shilchaguri"" when there was dense Dolka forest covering the region. Siliguri was a small agricultural village in the Kingdom of Sikkim. It was captured by the Kingdom of Nepal in 1788, after which Kirati and Nepali Lepchas came to settle in this region.[1] ","शैलेन देब्नाथस्य मते ""शिलिगुडि"" इत्यस्य अर्थः कंकडानां अथवा पाषाणानां स्तूपः। १९ शतकपर्यन्तम् अयं प्रदेशः ""शिल्चागुडि"" इति उच्यते स्म यदा अस्य प्रदेशस्य आच्छादनं सघनं डोल्कावनम् आसीत् । शिलिगुडि सिक्किमराजत्वस्य एकः लघुः कृषिग्रामः आसीत् | १७८८ तमे वर्षे नेपालराज्येन एतत् गृहीतम्, तदनन्तरं किराति -नेपाली- लेप्चा -जनाः अस्मिन् प्रदेशे निवसितुं आगताः । [1] "
"At that time a river port on Mahananda, South of Siliguri in Phansidewa had an important role in having trade bond with Malda, Bengal and Bihar. This riverine trade line was thus used by the Bhutanese and Sikkimese to bring goods into their mainland. [citation needed] ",तस्मिन् समये फान्सिदॅवा - नगरस्य शिलिगुडि - नगरस्य दक्षिणे महानन्दा - नगरस्य एकस्य नदी - बन्दरगाहस्य मालदा - बङ्ग - बिहार - देशैः सह व्यापारबन्धनं भवितुं महत्त्वपूर्णा भूमिका आसीत् | एवं भूटानी - सिक्किमी -जनाः स्वमुख्यभूमिं प्रति मालम् आनेतुं अस्याः नदीतटस्य व्यापाररेखायाः उपयोगं कुर्वन्ति स्म । [ उद्धरणस्य आवश्यकता ] 
"Metropolis in West Bengal, India Asansol Metropolis Asansol cityscape Clockwise from top: Asansol Railway Station, IISCO Steel Plant, TV Tower, Galaxy Mall, Asansol Engineering College, Asansol Indoor Stadium, Rabindra Bhavan, Eastern Coalfields Limited Nickname(s): ""The City of Brotherhood""[1] and ""Land of Black diamonds"" Asansol Location in West Bengal, India Show map of West Bengal Asansol Asansol (India) Show map of India Asansol Asansol (Asia) Show map of Asia Coordinates: 23°41′N 86°59′E﻿ / ﻿23.68°N 86.99°E﻿ / 23.68; 86.99Coordinates: 23°41′N 86°59′E﻿ / ﻿23.68°N 86.99°E﻿ / 23.68; 86.99 Country India State West Bengal District Paschim Bardhaman Government • Type Municipal Corporation • Body Asansol Municipal Corporation Asansol Durgapur Development Authority • Mayor Bidhan Upadhyay —TMC • Commissioner of Police Sukesh Kumar Jain, IPS (Asansol-Durgapur Police Commissionerate) Area [2][3] • Metropolis 326 km2 (126 sq mi) • Metro [4] 1,615 km2 (624 sq mi) • Rank 2nd in West Bengal Elevation 111 m (364 ft) Population (2011)[2][3] • Metropolis 1,243,414 [5][6][7] • Rank 2nd in West Bengal • Metro [4] 3,000,000 Demonym Asansolians / Asansolites/ Asansolbashi Languages • Official Bengali[8][9] • Additional official English[9] Time zone UTC+5:30 (IST) PIN 713 3xx Telephone code 0341 Vehicle registration WB 37 / WB 38 / WB 44 (WB 44A, WB 44B, WB 44C, WB 44D) Sex ratio 1.08[10] ♂/♀ Literacy 84.82[10] Lok Sabha constituency Asansol (MP — Shatrughan Sinha — TMC) Vidhan Sabha constituencies Asansol Uttar (MLA — Moloy Ghatak —TMC) Asansol Dakshin (MLA —Agnimitra Paul —BJP) Pandaveswar (MLA — Narendranath Chakraborty —TMC) Raniganj (MLA — Tapas Banerjee —TMC) Jamuria (MLA — Hareram Singh —TMC) Kulti (MLA —Ajay Kumar Poddar —BJP) Barabani (MLA —Bidhan Upadhyay —TMC) Website paschimbardhaman.co.in ","Department of Municipal Affairs, Government of West Bengal. Archived from the original on 12 March 2017. Unknown parameter |access-date= ignored (help); Unknown parameter |url-status= ignored (help) ↑ ""52nd Report of the Commissioner for Linguistic Minorities in India"". "
"It is the second largest and most populated city of West Bengal and the 33rd largest urban agglomeration in India. Asansol is the district headquarters of Paschim Bardhaman district. According to a 2010 report released by the International Institute for Environment and Development, a UK-based policy research non-governmental body, Asansol was ranked 11th among Indian cities and 42nd in the world in its list of 100 fastest-growing cities.[1] Asansol is classed as a Y-category city for calculation of HRA (House Rent Allowance) for public servants, is rate 16%, making it a Tier-II city. ","आसान्सोल् भारतस्य पश्चिमबङ्गराज्यस्य (Tier-II) महानगरम् अस्ति । इदं पश्चिमबङ्गस्य द्वितीयं बृहत्तमं जनसंख्यायुक्तं च नगरं भारतस्य ३३तमं बृहत्तमं नगरसङ्घटनम् अस्ति । आसान्सोल् पश्चिमबर्धमानमण्डलस्य जिला मुख्यालयः अस्ति . यूनाइटेड किंगडम-आधारितस्य नीतिसंशोधनस्य गैरसरकारीसंस्थायाः अन्तर्राष्ट्रीयपर्यावरणविकाससंस्थायाः २०१० तमे वर्षे प्रकाशितस्य प्रतिवेदनस्य अनुसारं आसान्सोल् भारतीयनगरेषु ११ तमे स्थाने, विश्वे च ४२ तमे स्थाने अभवत् [1] आसान्सोल् लोकसेवकानां कृते गृहस्कन्धभत्ता इत्यस्य गणनायै Y-वर्गस्य नगररूपेण वर्गीकृतम् अस्ति, दरः 16% अस्ति, येन एतत् Tier-II नगरं भवति "
Performance of Gaudiya Nritya by Mahua Mukherjee ,महुआ-मुखोपाध्यायानां गौडीयनृत्यप्रदर्शनम् 
Gaudiya Nritya ,गौडीयनृत्यम् 
"Gaudiya Nritya (Bengali: গৌড়ীয় নৃত্য, IAST: Gaur̤īẏa Nṛtya) or Gôur̤īyo Nrityô, is a Bengali dance tradition.[1][2][3] It originates from Gauda, also known as Gaur, in Bengal.[4] ","गौडीयनृत्यं (वङ्गभाषा: গৌড়ীয় নৃত্য, अ॰सं॰लि॰व॰: Gaur̤īẏa Nṛtya) वङ्गीय नृत्यपरम्परा अस्ति। [1] [2] [3] अस्य उत्पत्तिः वङ्गस्य गौडतः, (गौड़ इति अपि ज्ञायते) अस्ति। [1] "
"It has been reconstructed by Mahua Mukherjee.[1][2] It is recognised as an Indian classical dance by Ministry of Culture,[3] not recognized by Sangeet Natak Akademi ,but study of it is eligible for scholarships from the Ministry of Culture of India.[4] Scholarly reception of the reconstruction ranges from caution to skepticism.[5][6][7][8] ","महुआ मुखोपाध्याय इत्यनेन पुनर्निर्माणं कृतम् अस्ति।[1] [2] इदं संस्कृतिमन्त्रालयेन भारतीयशास्त्रीयनृत्यरूपेण मान्यतां प्राप्तम्, [3] संगीतनाटक अकादमीद्वारा मान्यतां न प्राप्तम् ,किन्तु अस्य अध्ययनं भारतस्य संस्कृतिमन्त्रालयात् छात्रवृत्तिप्राप्त्यर्थं पात्रम् अस्ति। [4] . पुनर्निर्माणस्य विद्वान् स्वागतं सावधानतातः संशयवादपर्यन्तं भवति।[1] [2] [७] [८] । "
"The Portuguese made several attempts to capture Ullal as it was strategically placed. But Abbakka repulsed each of their attacks for over four decades. For her bravery, she came to be known as Abhaya Rani (The fearless queen).[1][2] She was also one of the earliest Indians to fight colonialism and is sometimes regarded as the 'first woman freedom fighter of India'.[3][4] In the state of Karnataka, she is celebrated along with Rani Kittur Chennamma, Keladi Chennamma, Queen Chennabhairadevi and Onake Obavva, as the foremost women warriors and patriots.[5] ","रानी अब्बक्का चौटा उल्लालस्य प्रथमा तुलुवा राज्ञी आसीत् या १६ शताब्द्याः उत्तरार्धे पुर्तगालीभिः सह युद्धं कृतवती । सा चौतवंशस्य आसीत् यः भारतस्य तटीयकर्नाटकस्य ( तुलुनाडु ) भागेषु शासनं करोति स्म । तेषां राजधानी पुट्टिगे आसीत् । [टिप्पणी १] । उल्लाल -बन्दरगाहनगरं तेषां सहायकराजधानीरूपेण कार्यं करोति स्म । पुर्तगालीजनाः उल्लाल्-नगरं यथा रणनीतिकरूपेण स्थापितं तथा ग्रहीतुं अनेकाः प्रयत्नाः कृतवन्तः । परन्तु अब्बक्का तेषां प्रत्येकं आक्रमणं चतुर्दशकाधिकं प्रतिकारितवान् । वीरतायाः कारणात् सा अभयराणी (The fearless queen) इति नाम्ना प्रसिद्धा अभवत् । [1] [2] . सा औपनिवेशिकताविरुद्धं युद्धं कुर्वतीषु प्रारम्भिकेषु भारतीयेषु अपि अन्यतमः आसीत्, कदाचित् 'भारतस्य प्रथमा महिला स्वतन्त्रतासेनानी' इति गण्यते । [3] [4] . कर्नाटकराज्ये, सा रानी कित्तूर चेन्नम्मा, केलादी चेन्नम्मा, राज्ञी चेन्नभैरदेवी तथा ओनाके ओबाव्वा, अग्रणी महिला योद्धा देशभक्ता च इति रूपेण आचर्यते । [5] . "
"Nāgārjuna Painting of Nāgārjuna Born c. 150 CE (disputed) South India[1] Died c. 250 CE India Occupation Buddhist teacher, monk and philosopher Notable work Mūlamadhyamakakārikā Era Ancient philosophy Region Eastern philosophy Indian philosophy School Mahāyāna Buddhism Madhyamaka Notable ideas Madhyamaka Śūnyatā Two truths doctrine Influences Buddha ","Nāgārjuna Painting of Nāgārjuna जननम् फलकम्:Circa (disputed) South India[1] मरणम् फलकम्:Circa India कालः Ancient philosophy क्षेत्रम् Eastern philosophy Indian philosophy School Mahāyāna Buddhism Madhyamaka प्रमुख विचारः Madhyamaka Śūnyatā Two truths doctrine प्रभावः Buddha ↑ Kalupahana 1994, p. 160. "
"150 – c. 250 CE) was an Indian Mahāyāna Buddhist thinker, scholar-saint and philosopher. He is widely considered one of the most important Buddhist philosophers.[1] Jan Westerhoff considers him to be ""one of the greatest thinkers in the history of Asian philosophy.""[2] ","नागार्जुन (लगभग १५० – २५० ई.) एक भारतीय महायान बौद्ध विचारक, विद्वान-सन्त एवं दार्शनिक थे। सः बहुधा महत्त्वपूर्णेषु बौद्धदार्शनिकेषु अन्यतमः इति मन्यते । [1] . जन वेस्टर्होफ् तं "" एशिया-दर्शनस्य इतिहासे महान् विचारकेषु अन्यतमः "" इति मन्यते । [2] . "
"Nāgārjuna is widely considered to be the founder of the Madhyamaka (centrism, middle-way) school of Buddhist philosophy and a defender of the Mahāyāna movement.[1][2] His Mūlamadhyamakakārikā (Root Verses on Madhyamaka, or MMK) is the most important text on the madhyamaka philosophy of emptiness. The MMK inspired a large number of commentaries in Sanskrit, Chinese, Tibetan, Korean and Japanese and continues to be studied today.[3] ","नागार्जुनं बौद्ध दर्शनस्य मध्यक (केन्द्रवाद, मध्यमार्ग) विद्यालयस्य संस्थापकः एवं महायान आन्दोलनस्य रक्षकः इत्यपि मन्यन्ते। [1] [2] . तस्य मूलाध्यामककारिका (मध्यमकस्य मूलश्लोकः, अथवा MMK) शून्यतायाः मध्यकदर्शनस्य महत्त्वपूर्णः ग्रन्थः अस्ति . एम.एम.के संस्कृत-चीनी-तिब्बती-कोरिया-जापानी-भाषायां बहूनां भाष्याणां प्रेरणाम् अकरोत्, अद्यत्वे च अध्ययनं निरन्तरं भवति । [3] . "
"Legends recorded by Al-Biruni in the eleventh century say that he was living in Ujjain, Madhya Pradesh about ""one hundred years ago,"" i.e., at the start of the tenth century.[1] Chinese and Tibetan literature says he born in Vidarbha and then migrated to nearby Satavahana dynasty. There much confusion in history between Mahayana sect founder Nagarjuna and alchemist Nagarjuna. Another belief is this rasasiddha Nagarjuna was born in Gujarat and he was a Jain during his past life. ","नागार्जुन ( नागार्जुन ) भारतीयधातुशास्त्रज्ञः कीमियाविज्ञानी च आसीत् | एकादशशताब्द्यां अल-बिरुनी इत्यनेन अभिलेखिताः आख्यायिकाः कथयन्ति यत् सः उज्जैन्, मध्यप्रदेशस्य प्रायः ""शतवर्षपूर्वम्"" अर्थात् दशमशताब्द्याः आरम्भे एव निवसति स्म [1] . चीनी - तिब्बती - साहित्यं कथयति यत् सः विदर्भ - नगरे जन्म प्राप्य ततः समीपस्थे सतवाहन - वंशं प्रवासं कृतवान् | महायान सम्प्रदाय संस्थापक नागार्जुन एवं कीमियाज्ञ नागार्जुन के बीच इतिहास में बहुत भ्रम होता है। अन्यः मान्यता अस्ति यत् एषः रससिद्धः नागार्जुनः गुजरातदेशे जन्म प्राप्नोत् तथा च सः स्वस्य अतीतजीवने जैनः आसीत्। अनन्तरं दक्षिणभारते विविधस्थानानि गत्वा अनेकानि प्रयोगशालानि स्थापितानि । महाराष्ट्रराज्यस्य ग्रामे नागलवाडी इत्यत्र तस्य प्रयोगप्रयोगशालायाः प्रमाणानि प्राप्यन्ते । केषाञ्चन प्रमाणानुसारं सः अमृतत्वस्य कार्यं कुर्वन् आसीत्, लोहस्य पारायाश्च निष्कासनं जानाति स्म । गौणसाहित्ये अस्य लेखकस्य विषये बहु भ्रमः अस्ति । १९८४ तमे वर्षे लोहशास्त्रज्ञनागार्जुनेन सह सम्बद्धानां पाण्डुलिपानां मुद्रितसंस्करणानाञ्च अध्ययनेन ज्ञातं यत् तस्य नाम रसेन्द्रमङ्गला [1] इति ग्रन्थेन सह सम्बद्धम् अस्ति किन्तु रसरत्नाकरस्य पाण्डुलिप्याः एकरूपतया भिन्नस्य लेखकस्य नित्यनाथसिद्धस्य आरोपः अस्ति [2] "
"Works ascribed in manuscripts to an author called Nāgārjuna include Jīvasūtra,[1] Rasavaiśeṣikasūtra,[2] Yogaśataka,[3] Kakṣapuṭa,[4] Yogaratnamālā[5][6] and several other works (Meulenbeld lists over fifty). It is certain that several different authors used the name Nāgārjuna to write works on medicine and alchemy, and that these authors are to be distinguished from the second-century Buddhist philosopher of the same name. ","नागार्जुननामकस्य लेखकस्य पाण्डुलिपिषु जीवसूत्रम्, [१] रसवैषिकसूत्रम्, [२] योगशतकम्, [३] कक्षपुतम्, [४] योगरत्नमाला [५] [६] इत्यादीनि अनेकानि ग्रन्थानि (मेउलेनबेल्ड् पञ्चाशत् अधिकानि ग्रन्थानि सूचीबद्धानि) सन्ति । औषधशास्त्रस्य रसायनशास्त्रस्य च ग्रन्थानां लेखनार्थं अनेके भिन्नाः लेखकाः नागार्जुन इति नाम प्रयुक्तवन्तः, एते लेखकाः द्वितीयशताब्द्याः समाननाम्ना बौद्धदार्शनिकात् भिन्नाः भवेयुः इति निश्चितम् "
The most recent comprehensive discussion of the complicated text-historical issues connected with the name Nāgārjuna is given in the History of Indian Medical Literature.[1] ,नागार्जुननाम्ना सह सम्बद्धानां जटिलपाठ-ऐतिहासिकविषयाणां अद्यतनतमः व्यापकविमर्शः भारतीयचिकित्सासाहित्यस्य इतिहासे दत्ता अस्ति [1] . 
"United Arab Emirates الإمارات العربية المتحدة (Arabic) al-ʾImārāt al-ʿArabīyah al-Muttaḥidah Flag Emblem Motto: الله الوطن الرئيس God, Nation, President Anthem: عيشي بلادي ""Īšiy Bilādī"" ""Long Live My Country"" Location of United Arab Emirates (green) in the Arabian Peninsula Capital Abu Dhabi 24°28′N 54°22′E﻿ / ﻿24.467°N 54.367°E﻿ / 24.467; 54.367 Largest city Dubai 25°15′N 55°18′E﻿ / ﻿25.250°N 55.300°E﻿ / 25.250; 55.300 Official languages Arabic[1] Common languages Gulf Arabic, English[2] Ethnic groups (2020)[3] [4] 20.0% Emirati 35.0% Indian 15.0% Pakistani 11% Bangladeshi 7.0% Filipino 4.3% Egyptian 3.0% Sri Lankans 2.6% Jordanian 2.6% Nepalis 1.0% Indonesian 0.6% Yemeni 2.7% Others [needs update] Religion (2022) 76.0% Islam (official) 9.0% Christianity 8.0% Hinduism 1.8% Buddhism 5.0% Others Demonym(s) Emirati[5] Government Federal Islamic parliamentary elective semi-constitutional monarchy[6][7][8] • President Mohamed bin Zayed Al Nahyan[9] • Vice President and Prime Minister Mohammed bin Rashid Al Maktoum Legislature Federal Supreme Council Federal National Council Establishment • Emirate of Ras Al Khaimah 1708 • Sharjah 1727 • Abu Dhabi 1761 • Umm Al Quwain 1768 • Ajman 1816 • Dubai 1833 • Fujairah 1879 • Independence from the United Kingdom and the Trucial States 2 December 1971 • Admitted to the United Nations 9 December 1971 • Admission of Emirate of Ras Al Khaimah to the UAE 10 February 1972 Area • Total 83,600 km2 (32,300 sq mi) (114th) • Water (%) negligible Population • 2020 estimate 9,282,410[10] (92nd) • 2005 census 4,106,427 • Density 121/km2 (313.4/sq mi) (110th) GDP (PPP) 2022 estimate • Total $779.234 billion[11] (34th) • Per capita $78,255[11] (6th) GDP (nominal) 2022 estimate • Total $501.354 billion[11] (32nd) • Per capita $50,349[11] (21st) Gini (2018) 26.0[12] low HDI (2021) 0.911[13] very high · 26th Currency UAE dirham (AED) Time zone UTC+04:00 (United Arab Emirates Standard Time) Date format dd/mm/yyyy Driving side right Calling code +971 ISO 3166 code AE Internet TLD .ae امارات. ","الإمارات العربية المتحدة (language?) फलकम्:लिप्यंतरणम् संयुक्तारबामीरियराज्यानि ध्वजः [[Emblem]] ध्येयवाक्यम्: الله الوطن الرئيس राष्ट्रगीतम्: عيشي بلادي ""[[Ishy Bilady|फलकम्:Transliteration]]"" ""Long Live My Country"" फलकम्:Parabr Location of सं॰अ॰अ॰ राजधानी Abu Dhabi {{{latd}}}° {{{latm}}}' {{{latNS}}} {{{longd}}}° {{{longm}}}' {{{longEW}}} बृहत्तमं नगरम् Dubai २५°१५′ उत्तरदिक् ५५°१८′ पूर्वदिक्﻿ / ﻿25.250°उत्तरदिक् 55.300°पूर्वदिक्﻿ / २५.२५०; ५५.३०० देशीयता Emirati[1] व्यावहारिकभाषा(ः) Arabic[2] प्रादेशिकभाषा(ः) {{{regional_languages}}} राष्ट्रीयभाषा(ः) {{{languages_type}}} सर्वकारः Federal Islamic parliamentary elective semi-constitutional monarchy[3][4][5] - President Mohamed bin Zayed Al Nahyan[6] - Vice President and Prime Minister Mohammed bin Rashid Al Maktoum विधानसभा Federal Supreme Council Federal National Council Establishment - Emirate of Ras Al Khaimah 1708 - Sharjah 1727 - Abu Dhabi 1761 - Umm Al Quwain 1768 - Ajman 1816 - Dubai 1833 - Fujairah 1879 विस्तीर्णम् - आविस्तीर्णम् 83,600 कि.मी2 (114th) 32,278 मैल्2 - जलम् (%) negligible जनसङ्ख्या - 2020स्य माकिम् 9,282,410[7] (92nd) - 2005स्य जनगणतिः 4,106,427 ({{{population_census_rank}}}) - सान्द्रता 121/कि.मी2(110th) 256/मैल्2 राष्ट्रीयः सर्वसमायः (PPP) 2022स्य माकिम् - आहत्य $779.234 billion[8] (34th) - प्रत्येकस्य आयः $78,255[8] (6th) राष्ट्रीयः सर्वसमायः (शाब्द) 2022स्य माकिम् - आहत्य $501.354 billion[8] (32nd) - प्रत्येकस्य आयः $50,349[8] (21st) Gini(2018) 26.0 () मानवसंसाधन सूची (2021) 0.911 ({{{HDI_category}}})(26th) मुद्रा UAE dirham (AED) कालमानः United Arab Emirates Standard Time (UTC+04:00) वाहनचालनविधम् right अन्तर्जालस्य TLD .ae امارات. दूरवाणीसङ्केतः ++971 United Arab Emirates portal ↑ ↑ ""Fact sheet"". United Arab Emirates. U.ae. "
United Arab Emirates portal ,"Unknown parameter |access-date= ignored (help) ↑ Stewart, Dona J. (2013). The Middle East Today: Political, Geographical and Cultural Perspectives. London and New York: Routledge. p. 155. "
"The United Arab Emirates (UAE; Arabic: الإمارات العربية المتحدة al-ʾImārāt al-ʿArabīyah al-Muttaḥidah), or simply the Emirates (Arabic: الإمارات al-ʾImārāt), is a country in Western Asia (The Middle East). It is located at the eastern end of the Arabian Peninsula and shares borders with Oman and Saudi Arabia, while having maritime borders in the Persian Gulf with Qatar and Iran. Abu Dhabi is the nation's capital, while Dubai, the most populous city, is an international hub. ","संयुक्तारबामीरियराज्यानि ( UAE ; Arabic al-ʾImārāt al-ʿArabīyah al-Muttaḥidah ), वा अमीरियराज्यानि ( Arabic al-ʾImārāt ), पश्चिमजम्बूद्वीपे ( The Middle East ) स्थितः देशः अस्ति। अरबद्वीपसमूहस्य पूर्वे अन्तभागे स्थितम् अस्ति, ओमान - सऊदी अरब - देशयोः सीमाः अस्ति, यदा तु फारस - खाते कतार - ईरान - देशयोः सह समुद्रीयसीमाः सन्ति |. अबुधाबी राष्ट्रस्य राजधानी अस्ति, दुबई, सर्वाधिकं जनसंख्यायुक्तं नगरं, अन्तर्राष्ट्रीयकेन्द्रम् अस्ति । "
"The United Arab Emirates is an elective monarchy formed from a federation of seven emirates, consisting of Abu Dhabi (the capital), Ajman, Dubai, Fujairah, Ras Al Khaimah, Sharjah and Umm Al Quwain.[1] Each emirate is governed by an emir and together the emirs form the Federal Supreme Council. The members of the Federal Supreme Council elect a president and vice president from among their members. In practice, the emir of Abu Dhabi serves as president while the ruler of Dubai is vice president and also prime minister.[2] In 2013, the country had a population of 9.2 million, of which 1.4 million were Emirati citizens and 7.8 million were expatriates.[3][4][5] As of 2020[update], the United Arab Emirates has an estimated population of roughly 9.9 million.[6] ","संयुक्तारबामीरियराज्यानि सप्त अमीरियराज्य संघात् निर्मितं ऐच्छिकं राजतन्त्रम् अस्ति, यत्र अबुधाबी (राजधानी), अज्मान्, दुबई, फुजैराः, रस् अल् खैमाः, शार्जाः, उम्म् अल् ुक प्रत्येकं अमीरियराज्य एकेन अमीरेण शासितम् अस्ति तथा च अमीराः मिलित्वा संघीयसर्वोच्चपरिषदं निर्मान्ति | संघीय सर्वोच्चपरिषदः सदस्याः स्वसदस्यानां मध्ये एकं अध्यक्षं उपराष्ट्रपतिं च निर्वाचयन्ति । व्यवहारे अबुधाबी-नगरस्य अमीरः राष्ट्रपतिरूपेण कार्यं करोति, दुबई-नगरस्य शासकः उपराष्ट्रपतिः अपि च प्रधानमन्त्रिरूपेण कार्यं करोति । [2] . २०१३ तमे वर्षे देशस्य जनसंख्या ९२ लक्षं आसीत्, येषु १४ लक्षं अमीरातीनागरिकाः, ७८ लक्षं प्रवासिनः च आसन् । [3] [4] [5] . २०२० तमे वर्षे संयुक्त अरब अमीरियराज्यानि-देशस्य जनसंख्या प्रायः ९९ लक्षं भवति।[1] "
"The United Arab Emirates has been inhabited for over 125,000 years. It has been the crossroads of trading for many civilizations, including Mesopotamia, Persia, and India.[1] ","संयुक्त अरब अमीरियराज्यानि-देशे १,२५,००० वर्षाणाम् अधिकं कालात् जनाः निवसन्ति । मेसोपोटामिया, पारस्य, भारत इत्यादीनां बहूनां सभ्यतानां व्यापारस्य चतुर्मार्ग अभवत् । [1] "
"Islam is the official religion and Arabic the official language. The United Arab Emirates' oil and natural gas reserves are the world's sixth and seventh-largest, respectively.[1][2] Zayed bin Sultan Al Nahyan, ruler of Abu Dhabi and the country's first president, oversaw the development of the Emirates by investing oil revenues into healthcare, education, and infrastructure.[3] The United Arab Emirates has the most diversified economy among the members of the Gulf Cooperation Council.[4] In the 21st century, the country has become less reliant on oil and gas and is economically focusing on tourism and business. The government does not levy income tax, although there is a corporate tax in place and a 5% value-added tax was established in 2018.[5] ","इस्लामधर्मः आधिकारिकधर्मः अरबीभाषा च राजभाषा अस्ति । संयुक्त अरब अमीरियराज्यानिस्य सिद्धतैलस्य प्राकृतिकवायुस्य च भण्डारः क्रमशः विश्वस्य षष्ठः सप्तमः च बृहत्तमः अस्ति । [1] [2] . अबूधाबी-अमीरियराज्यस्य शासकः देशस्य प्रथमः राष्ट्रपतिः च जायद बिन सुल्तान अल नह्यान्, स्वास्थ्यसेवायां, शिक्षायां, आधारभूतसंरचनेषु च तेलस्य राजस्वस्य निवेशं कृत्वा संयुक्त अरब अमीरियराज्यानि-देशस्य विकासस्य निरीक्षणं कृतवान्। [1] उपसागरसहकारपरिषदः सदस्येषु संयुक्त अरब अमीरियराज्यानि अर्थव्यवस्था सर्वाधिकं विविधा अस्ति । [1] एकविंशतितमे शतके देशः तैल-गैसयोः उपरि न्यूनतया निर्भरः जातः, आर्थिकदृष्ट्या पर्यटन-व्यापारयोः विषये केन्द्रितः अस्ति । सर्वकारः आयकरं न गृह्णाति, यद्यपि निगमकरः स्थापितः अस्ति तथा च २०१८ तमे वर्षे ५% मूल्यवर्धितकरः स्थापितः [५] । "
"Human rights groups, such as Amnesty International, Freedom House and Human Rights Watch, regard UAE as generally substandard on human rights, with citizens criticising the regime imprisoned and tortured, families harassed by the state security apparatus, and cases of forced disappearances.[1][2] Individual rights such as the freedoms of assembly, association, the press, expression, and religion are also severely repressed.[3] ","एम्नेस्टी इन्टरनेशनल्, फ्रीडम हाउस तथा ह्यूमन राइट्स् वॉच इत्यादयः मानवाधिकारसमूहाः सं॰अ॰अ॰-देशं मानवअधिकारविषये सामान्यतया घटिया इति मन्यन्ते, यत्र नागरिकाः शासनस्य आलोचनां कुर्वन्ति यत् कारागारं कृत्वा यातनां दत्तं भवति, राज्यसुरक्षायन्त्रेण उत्पीडिताः परिवाराः, बलात् अन्तर्धानस्य प्रकरणाः च भवन्ति [1] [2] सभा, संघ, पत्रिका, अभिव्यक्ति, धर्म इत्यादयः व्यक्तिगताधिकाराः अपि भृशं दमनं कुर्वन्ति । [3] . "
"The UAE is considered a middle power. It is a member of the United Nations, Arab League, Organisation of Islamic Cooperation, OPEC, Non-Aligned Movement, and Gulf Cooperation Council (GCC). ","सं॰अ॰अ॰ - देशः मध्यमशक्तिः इति मन्यते । इदं संयुक्तराष्ट्रसङ्घस्य, अरबलीगस्य, इस्लामिकसहकारसङ्गठनस्य, ओपेकस्य, असंलग्नआन्दोलनस्य, उपसागरसहकारपरिषदस्य (GCC) सदस्यम् अस्ति । "
"An emirate is a territory ruled by an emir,[1] a title used by monarchs or high officeholders in the Muslim world. From a historical point of view, an emirate is a political-religious unit smaller than a caliphate.[2] It can be considered equivalent to a principality in non-Muslim contexts. ","अमीरियराज्यम् अमीरेण शासितः प्रदेशः अस्ति, [1] मुस्लिमजगति राजपुत्रैः अथवा उच्चपदाधिकारिभिः प्रयुक्तः उपाधिः । ऐतिहासिकदृष्ट्या अमीरियराज्यः खलीफातीयराज्यस्य अपेक्षया लघुः राजनैतिक-धार्मिकः एककः भवति । [1] अमुस्लिमसन्दर्भेषु क्षुद्रराज्यस्य समकक्षं मन्यते । "
